condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
crossiso__cipher-persona__t05__r02,crossiso,cipher-persona,5,2,-0.5136,0.4777,0.2432,0.7388,0.7401330173015594,0.5773119291379338,-0.011303275494606455,0.397395238095238,0.010444935064935061,0.5796474055313532,0.4680651128292084,0.4031805694103241,0.4280701754385965,0.4828150572831424,0.34652114597544337
crossiso__cipher-persona__t05__r03,crossiso,cipher-persona,5,3,-0.4732,0.5448,0.2634,0.7724,0.68306665122509,0.5535241152559008,-0.019133940571314324,0.5893523809523808,0.019408311688311686,0.3493707058603779,0.40112751722335815,0.5796003937721252,0.41149943630214203,0.42208774583963693,0.32235142118863047
crossiso__cipher-persona__t06__r01,crossiso,cipher-persona,6,1,-0.3363,0.3677,0.3319,0.6838,0.6660026103258133,0.4970206142891021,-0.0155193609076661,0.6620666666666667,0.034864545454545454,0.33419246569452177,0.6053234338760376,0.544201672077179,0.44560185185185186,0.4556765163297045,0.35633709356337095
crossiso__cipher-persona__t06__r02,crossiso,cipher-persona,6,2,-0.275,0.369,0.3625,0.6845,0.641100461781025,0.4780205814611344,-0.012426458995837665,0.5942714285714285,0.013263636363636356,0.3657834997747752,0.5746127963066101,0.5860573649406433,0.4104803493449782,0.47737226277372263,0.3235477826358526
crossiso__cipher-persona__t06__r03,crossiso,cipher-persona,6,3,-0.3148,0.3988,0.3426,0.6994,0.6783882826566696,0.5359698200509662,-0.02247960495871382,0.6570904761904762,0.030118831168831173,0.30083589246466474,0.45466092228889465,0.5739623308181763,0.41228070175438597,0.4383561643835616,0.31102613129381773
crossiso__cipher-persona__t07__r01,crossiso,cipher-persona,7,1,-0.4612,0.4656,0.2694,0.7328,0.6291045859456063,0.42589212253334974,-0.024503379832808085,0.6737857142857143,0.03311714285714286,0.42676502432415264,0.6391373872756958,0.5671817064285278,0.40071343638525564,0.424390243902439,0.31387362637362637
crossiso__cipher-persona__t07__r02,crossiso,cipher-persona,7,2,-0.4126,0.4412,0.2937,0.7206,0.5895097747445106,0.42698722297237035,-0.028354816922506725,0.7830809523809522,-0.0012231168831168847,0.24233956031636902,0.6755563616752625,0.6202403903007507,0.4371327849588719,0.48392554991539766,0.34674063800277394
crossiso__cipher-persona__t07__r03,crossiso,cipher-persona,7,3,-0.5125,0.5332,0.2437,0.7666,0.6227207198739052,0.4941299060980479,-0.007100843222110313,0.5772714285714284,-0.016120000000000013,0.42134934622546394,0.5786393880844116,0.5705269575119019,0.44097995545657015,0.44414535666218036,0.3339427178549665
crossiso__lyra-persona__t00__r01,crossiso,lyra-persona,0,1,0.2607,0.5285,0.6304,0.7643,0.6324234157800674,0.4858073790868123,-0.01327507271395101,0.7398809523809524,0.03437311688311688,0.4278786873235913,0.579514741897583,0.5048679113388062,0.399737876802097,0.4832089552238806,0.3364126250962279
crossiso__lyra-persona__t00__r02,crossiso,lyra-persona,0,2,0.2438,0.537,0.6219,0.7685,0.6491596773266792,0.4623440397637231,-0.010049780564648756,0.7106857142857144,0.00426012987012988,0.3158447890155849,0.630285382270813,0.6038039922714233,0.39178690344062156,0.4356287425149701,0.30975143403441685
crossiso__lyra-persona__t00__r03,crossiso,lyra-persona,0,3,0.4019,0.5273,0.7009,0.7637,0.6552742704749107,0.5129312042679105,-0.018257556429931106,0.7621142857142855,0.010196363636363623,0.2072735167557576,0.5290699601173401,0.5331603288650513,0.4193121693121693,0.466996699669967,0.3443465491923642
crossiso__lyra-persona__t01__r01,crossiso,lyra-persona,1,1,0.5901,0.3816,0.795,0.6908,0.638042475283146,0.4405805170536041,-0.02679652397508744,0.43885238095238094,0.0368335064935065,0.5858083106102587,0.630587637424469,0.5761570930480957,0.37759815242494227,0.4294770206022187,0.3012692050768203
crossiso__lyra-persona__t01__r02,crossiso,lyra-persona,1,2,0.4281,0.4882,0.714,0.7441,0.6348217252641917,0.3215903693011829,-0.026915626629412943,0.7944000000000001,0.02653922077922076,0.32688511015048577,0.6329053640365601,0.621719241142273,0.4028605482717521,0.43217665615141954,0.296673455532926
crossiso__lyra-persona__t01__r03,crossiso,lyra-persona,1,3,0.2567,0.4116,0.6283,0.7058,0.5858946301043033,0.34911801825676647,-0.017659896583139125,0.7546190476190475,0.021308831168831168,0.2648319640092519,0.6665911674499512,0.607257068157196,0.40597758405977585,0.4727592267135325,0.32871720116618075
crossiso__lyra-persona__t02__r01,crossiso,lyra-persona,2,1,0.0473,0.4895,0.5237,0.7447,0.6851331576704979,0.47302086864198956,-0.011314431336018935,0.7003380952380953,0.0029349350649350656,0.26748611441698367,0.566463828086853,0.5324435830116272,0.45261845386533667,0.48119122257053293,0.35
crossiso__lyra-persona__t02__r02,crossiso,lyra-persona,2,2,0.2844,0.5489,0.6422,0.7745,0.6642036359757185,0.5452613449167638,-0.014244145996771854,0.8197714285714287,0.009547922077922068,0.18474810687310783,0.6056671738624573,0.4758412539958954,0.4309252217997465,0.44607843137254904,0.3333333333333333
crossiso__lyra-persona__t02__r03,crossiso,lyra-persona,2,3,0.3091,0.5693,0.6545,0.7847,0.6237930886447429,0.384107639392217,-0.010498568841389253,0.8195476190476191,0.0026271428571428656,0.1676297013659732,0.5240691304206848,0.5671178698539734,0.3857315598548972,0.4658703071672355,0.31634819532908703
crossiso__lyra-persona__t03__r01,crossiso,lyra-persona,3,1,0.3122,0.4458,0.6561,0.7229,0.6778277546167374,0.4188071883150509,-0.020242446003022135,0.7816142857142856,0.022764025974025957,0.26797644048136254,0.5748794078826904,0.4337309002876282,0.37082405345211583,0.4218533886583679,0.29673041332510797
crossiso__lyra-persona__t03__r02,crossiso,lyra-persona,3,2,0.2992,0.4045,0.6496,0.7022,0.6377743430435657,0.42717226186678525,-0.02264748833976783,0.7171142857142856,0.010354415584415586,0.30090914035352817,0.6337066888809204,0.5391947627067566,0.41982864137086906,0.42338072669826227,0.3158620689655172
crossiso__lyra-persona__t03__r03,crossiso,lyra-persona,3,3,0.2517,0.3985,0.6258,0.6992,0.6696418650448323,0.46498623499203295,-0.00862694747939513,0.7151619047619048,-0.0016840259740259517,0.28741998882701997,0.5384749174118042,0.5107184648513794,0.4072289156626506,0.45518453427065025,0.3288062902072909
crossiso__lyra-persona__t04__r01,crossiso,lyra-persona,4,1,0.0907,0.5971,0.5453,0.7985,0.6986753016710281,0.554068698769524,-0.004286032876411032,0.7222238095238095,-0.006079610389610384,0.2831298303988437,0.47292622923851013,0.5189957022666931,0.47801418439716314,0.49371633752244165,0.37480190174326466
crossiso__lyra-persona__t04__r02,crossiso,lyra-persona,4,2,0.2802,0.5471,0.6401,0.7736,0.6552473813295364,0.5446620186169943,-0.014447914896073276,0.7499190476190476,0.018689480519480522,0.27334190977087325,0.4807929992675781,0.5121116042137146,0.40309155766944116,0.4869109947643979,0.3422913719943423
crossiso__lyra-persona__t04__r03,crossiso,lyra-persona,4,3,0.1,0.6079,0.55,0.8039,0.6786420747637749,0.5943514307339987,-0.014266002178192143,0.8065285714285715,0.01502025974025975,0.3183339593255234,0.5144559144973755,0.40082165598869324,0.43017456359102246,0.43657331136738053,0.3257629524485451
crossiso__lyra-persona__t05__r01,crossiso,lyra-persona,5,1,0.2339,0.4879,0.617,0.7439,0.6127080455422401,0.49178333793367657,-0.013081423841513597,0.5156285714285714,0.019231168831168828,0.5122694456025649,0.5297602415084839,0.5095602869987488,0.37330037082818296,0.4378698224852071,0.30505050505050507
crossiso__lyra-persona__t05__r02,crossiso,lyra-persona,5,2,0.2945,0.5052,0.6473,0.7526,0.6558292895555496,0.42316938732706366,-0.01495382749511824,0.7792428571428571,0.006030259740259753,0.1820591755483929,0.5248435139656067,0.6085430383682251,0.4074534161490683,0.4512743628185907,0.32540760869565216
crossiso__lyra-persona__t05__r03,crossiso,lyra-persona,5,3,0.2348,0.4786,0.6174,0.7393,0.7089466992765665,0.6082101384443896,-0.015156306045783033,0.621147619047619,0.032797012987013,0.4877227760765893,0.4595998227596283,0.2956036329269409,0.4226932668329177,0.4014184397163121,0.31386861313868614
crossiso__lyra-persona__t06__r01,crossiso,lyra-persona,6,1,0.506,0.3035,0.753,0.6518,0.6144491195678711,0.4405127404523747,-0.01112323144765257,0.742,0.006845324675324674,0.3510811831227318,0.6535118222236633,0.5329885482788086,0.39009661835748793,0.43373493975903615,0.31014904187366926
crossiso__lyra-persona__t06__r02,crossiso,lyra-persona,6,2,0.4386,0.3911,0.7193,0.6956,0.6383389562368393,0.5657416213126409,0.0048903660727785715,0.6037238095238094,0.01516506493506494,0.3068409017013803,0.5303968191146851,0.48304304480552673,0.38345864661654133,0.4665551839464883,0.3237822349570201
crossiso__lyra-persona__t06__r03,crossiso,lyra-persona,6,3,0.3206,0.4265,0.6603,0.7133,0.6246128290891647,0.49184501596859526,-0.0368774213380628,0.6886714285714286,0.030685584415584416,0.32286117043421253,0.6262674927711487,0.5885199904441833,0.3766968325791855,0.450229709035222,0.3122966818477554
crossiso__lyra-persona__t07__r01,crossiso,lyra-persona,7,1,0.3542,0.4267,0.6771,0.7133,0.5905327558517456,0.38460224937824977,-0.018327112089503897,0.6190761904761904,0.02584142857142857,0.3765037278064511,0.6577028632164001,0.6570024490356445,0.4435994930291508,0.46111111111111114,0.3551542513167795
crossiso__lyra-persona__t07__r02,crossiso,lyra-persona,7,2,0.2532,0.466,0.6266,0.733,0.6801754608750343,0.43535867191496347,-0.01552753773602573,0.7009809523809525,0.033072077922077926,0.3986845926281739,0.5979354381561279,0.6420222520828247,0.42894736842105263,0.47692307692307695,0.33903345724907064
crossiso__lyra-persona__t07__r03,crossiso,lyra-persona,7,3,0.0549,0.5231,0.5274,0.7615,0.6298667192459106,0.4587966530095963,-0.006467955994915653,0.5430619047619049,-0.0076229870129870415,0.6040977636712144,0.5904963612556458,0.6028906106948853,0.4,0.48923076923076925,0.3346938775510204
