condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__gpt-oss-120b__t04__r02,modiso,gpt-oss-120b,4,2,0.0207,0.5044,0.5104,0.7522,0.4685643967241049,0.39096537409793763,-0.015446133524566514,0.2386904761904762,0.008721168831168821,0.5545454568552707,0.7091464400291443,0.6143274307250977,0.6177536231884058,0.5121042830540037,0.45454545454545453
modiso__gpt-oss-120b__t04__r03,modiso,gpt-oss-120b,4,3,-0.0462,0.0792,0.4769,0.5396,0.501412644982338,0.342399816427912,-0.02367115047844974,0.2657,-0.010382467532467524,0.5503786618579716,0.7068619728088379,0.7081829309463501,0.5707620528771384,0.4816849816849817,0.43650126156433977
modiso__gpt-oss-120b__t05__r01,modiso,gpt-oss-120b,5,1,0.0681,0.2487,0.5341,0.6244,0.4761411286890507,0.25226771529941333,-0.023569823056459424,0.5405428571428571,-0.0103277922077922,0.31977977924015827,0.6756315231323242,0.7097212076187134,0.567699836867863,0.5009861932938856,0.4375
modiso__gpt-oss-120b__t05__r02,modiso,gpt-oss-120b,5,2,0.0499,0.2003,0.525,0.6002,0.48024208545684816,0.2919455065968491,-0.01292739801786163,0.2966047619047619,0.026240389610389613,0.539291633689788,0.7149029970169067,0.7561897039413452,0.5940766550522648,0.4781021897810219,0.4554367201426025
modiso__gpt-oss-120b__t05__r03,modiso,gpt-oss-120b,5,3,0.094,0.0466,0.547,0.5233,0.4316435432061553,0.22222100074092546,-0.023428401244538183,0.17607142857142857,0.013030519480519477,0.48514253197027635,0.7101902961730957,0.7611099481582642,0.5851979345955249,0.5369649805447471,0.4657534246575342
modiso__gpt-oss-120b__t06__r01,modiso,gpt-oss-120b,6,1,0.1607,0.1085,0.5803,0.5542,0.4858693697489798,0.2981118644986834,-0.013902795237380182,0.11925714285714288,0.0013701298701298695,0.6155693830155318,0.6942647099494934,0.6414071321487427,0.5581395348837209,0.4816053511705686,0.4191666666666667
modiso__gpt-oss-120b__t06__r02,modiso,gpt-oss-120b,6,2,0.2392,-0.0405,0.6196,0.4798,0.4879987232387066,0.3452493335519518,-0.019078315349368317,0.2970999999999999,0.0001410389610389518,0.4479714457311718,0.595120370388031,0.6490809917449951,0.5562805872756933,0.45614035087719296,0.41335587489433645
modiso__gpt-oss-120b__t06__r03,modiso,gpt-oss-120b,6,3,0.1537,0.1347,0.5769,0.5673,0.5144631505012512,0.391006615899858,-0.01199252957647496,0.5383095238095239,-0.0015206493506493453,0.3938313669879314,0.61890709400177,0.5883389115333557,0.5377643504531722,0.46037099494097805,0.39760956175298806
modiso__gpt-oss-120b__t07__r01,modiso,gpt-oss-120b,7,1,0.1698,0.191,0.5849,0.5955,0.48991656117141247,0.38864839715617044,-0.015823462102320295,0.5556999999999999,-0.04088909090909092,0.47940661139331303,0.6728790998458862,0.6179762482643127,0.5843478260869566,0.5018867924528302,0.45248868778280543
modiso__gpt-oss-120b__t07__r02,modiso,gpt-oss-120b,7,2,-0.0017,0.5138,0.4991,0.7569,0.5299298887141048,0.35118927771136876,-0.014244996533765415,0.4868904761904763,0.0448377922077922,0.48113482310526545,0.6403210759162903,0.6371925473213196,0.5483333333333333,0.5150943396226415,0.4265486725663717
